Nameserver	IP
clint.ns.cloudflare.com	108.162.193.90
clint.ns.cloudflare.com	172.64.33.90
clint.ns.cloudflare.com	173.245.59.90
cloe.ns.cloudflare.com	172.64.32.86
cloe.ns.cloudflare.com	173.245.58.86
cloe.ns.cloudflare.com	108.162.192.86
clyde.ns.cloudflare.com	108.162.193.91
clyde.ns.cloudflare.com	172.64.33.91
clyde.ns.cloudflare.com	173.245.59.91
coby.ns.cloudflare.com	108.162.193.92
coby.ns.cloudflare.com	172.64.33.92
coby.ns.cloudflare.com	173.245.59.92
coco.ns.cloudflare.com	108.162.192.104
coco.ns.cloudflare.com	172.64.32.104
coco.ns.cloudflare.com	173.245.58.104
cody.ns.cloudflare.com	108.162.193.107
cody.ns.cloudflare.com	172.64.33.107
cody.ns.cloudflare.com	173.245.59.107
coen.ns.cloudflare.com	108.162.195.151
coen.ns.cloudflare.com	162.159.44.151
coen.ns.cloudflare.com	172.64.35.151
coleman.ns.cloudflare.com	108.162.195.64
coleman.ns.cloudflare.com	162.159.44.64
coleman.ns.cloudflare.com	172.64.35.64
colette.ns.cloudflare.com	108.162.194.28
colette.ns.cloudflare.com	162.159.38.28
colette.ns.cloudflare.com	172.64.34.28
colin.ns.cloudflare.com	108.162.195.75
colin.ns.cloudflare.com	162.159.44.75
colin.ns.cloudflare.com	172.64.35.75
collins.ns.cloudflare.com	108.162.194.226
collins.ns.cloudflare.com	162.159.38.226
collins.ns.cloudflare.com	172.64.34.226
connie.ns.cloudflare.com	108.162.192.247
connie.ns.cloudflare.com	172.64.32.247
connie.ns.cloudflare.com	173.245.58.247
conrad.ns.cloudflare.com	108.162.195.146
conrad.ns.cloudflare.com	162.159.44.146
conrad.ns.cloudflare.com	172.64.35.146
cora.ns.cloudflare.com	108.162.194.195
cora.ns.cloudflare.com	162.159.38.195
cora.ns.cloudflare.com	172.64.34.195
coraline.ns.cloudflare.com	108.162.194.88
coraline.ns.cloudflare.com	162.159.38.88
coraline.ns.cloudflare.com	172.64.34.88
corey.ns.cloudflare.com	108.162.195.24
corey.ns.cloudflare.com	172.64.35.24
corey.ns.cloudflare.com	162.159.44.24
cortney.ns.cloudflare.com	108.162.192.87
cortney.ns.cloudflare.com	172.64.32.87
cortney.ns.cloudflare.com	173.245.58.87
cory.ns.cloudflare.com	173.245.59.93
cory.ns.cloudflare.com	172.64.33.93
cory.ns.cloudflare.com	108.162.193.93
cosmin.ns.cloudflare.com	108.162.195.45
cosmin.ns.cloudflare.com	162.159.44.45
cosmin.ns.cloudflare.com	172.64.35.45
courtney.ns.cloudflare.com	108.162.194.130
courtney.ns.cloudflare.com	162.159.38.130
courtney.ns.cloudflare.com	172.64.34.130
craig.ns.cloudflare.com	108.162.195.192
craig.ns.cloudflare.com	162.159.44.192
craig.ns.cloudflare.com	172.64.35.192
cris.ns.cloudflare.com	108.162.195.202
cris.ns.cloudflare.com	162.159.44.202
cris.ns.cloudflare.com	172.64.35.202
cruz.ns.cloudflare.com	108.162.192.88
cruz.ns.cloudflare.com	172.64.32.88
cruz.ns.cloudflare.com	173.245.58.88
crystal.ns.cloudflare.com	108.162.194.202
crystal.ns.cloudflare.com	162.159.38.202
crystal.ns.cloudflare.com	172.64.34.202
cullen.ns.cloudflare.com	108.162.195.91
cullen.ns.cloudflare.com	162.159.44.91
cullen.ns.cloudflare.com	172.64.35.91
curt.ns.cloudflare.com	108.162.193.94
curt.ns.cloudflare.com	172.64.33.94
curt.ns.cloudflare.com	173.245.59.94
